"Targets","T9_biorep1_techrep1","T9_biorep1_techrep2","T9_biorep1_techrep3","T9_biorep2_techrep1","T9_biorep2_techrep2","T9_biorep2_techrep3","T9_biorep3_techrep1","T9_biorep3_techrep2","T9_biorep3_techrep3","T10_biorep1_techrep1","T10_biorep1_techrep2","T10_biorep1_techrep3","T10_biorep2_techrep1","T10_biorep2_techrep2","T10_biorep2_techrep3","T10_biorep3_techrep1","T10_biorep3_techrep2","T10_biorep3_techrep3"
"AT1G24070_P1",3.09153,5.60761,8.27807,14.6261,14.6802,16.8953,8.99735,8.97798,14.665,5.52409,2.7527,4.04184,3.54458,3.21508,5.51905,4.21724,5.83025,4.93582
"AT1G24070_P2",7.40284,5.60679,8.778,8.13032,5.94166,9.12176,8.70185,7.59649,8.76855,2.51753,2.32282,1.98554,1.37702,1.52227,0.101329,0.954847,1.60442,0.857116
"AT1G24148_P1",51.1934,48.0802,53.8054,45.7704,44.2324,46.0043,41.9811,41.3221,41.0191,33.2166,37.484,36.9724,22.3358,23.1304,24.0344,22.8794,21.1504,24.0892
"AT1G24148_P2",5.20985,4.11984,6.03967,3.82719,4.77317,3.38746,4.25815,5.02465,4.46879,5.61204,5.30755,4.57204,2.74244,3.35361,2.75974,2.93548,3.92476,3.96034
"AT1G24265_ID3",0.525858,0.565621,0.796243,0,0,0,0.494559,0,0,0,0,0.537815,0,0,0.529419,0,0.283285,0.389175
"AT1G24265_P1",0.332776,2.04489,0.448128,2.23453,1.76243,1.53535,2.73537,1.13551,1.76313,1.84936,1.67259,1.17988,0.525231,1.05434,0.867036,0.451362,1.23984,0.976445
"AT1G24265_P2",1.47871,0,1.12519,0.36973,0.332399,1.09439,0,0.624432,0.312534,0,0,0,0.81367,0.683975,0.292952,0.944009,0,0
"AT1G24300_P1",15.8308,16.1006,15.8056,15.312,12.3506,12.5755,12.5569,15.4329,15.6383,13.0039,13.7482,13.6597,16.5802,16.6763,16.9705,15.8801,16.2282,15.8361
"AT1G24300_P2",4.083,3.04527,2.81864,2.66696,3.64216,4.6531,2.93018,1.41151,0.863362,1.01585,1.09118,1.08288,0.181556,0.939909,0.593497,0.16746,1.93e-09,0.918538
"AT1G24330_P1",0.73361,0.552787,1.4805,1.60076,2.35682,3.79988,1.41137,3.5436,1.18614,1.02148,0,0.73555,0.556329,0,0.174174,0.199906,0.213525,0.198901
"AT1G24330_P2",3.17715,3.04531,2.19488,1.85201,2.02671,0.10169,2.66017,8.06e-09,3.12167,0.731467,1.74993,0.780718,0.599215,1.26866,0.859414,0.704281,0.672146,0.604686
"AT1G24340_P1",9.1949,7.92366,6.08635,9.80863,11.0559,9.6948,9.81796,10.5697,9.93051,4.75283,6.46003,6.50746,6.8218,6.23051,6.30651,5.02891,7.93265,6.43507
"AT1G24340_s1",0,1.62863,2.12578,0,0.654935,1.44308,1.05605,0.425003,0.584477,1.04902,1.01047,0,0.736993,0.976956,0.560975,1.46157,0,0.270301
"AT1G24350.1",14.4365,14.2477,11.9214,15.8479,16.0968,14.1586,16.3862,14.7176,15.864,14.9535,17.5655,16.8499,16.9188,16.8666,15.8509,16.9343,19.6773,17.1119
"AT1G24350_ID4",2.5945,3.76896,3.13487,2.59573,2.48014,2.78688,1.73596,2.56001,2.1442,2.22632,2.68533,2.74779,2.06435,3.02029,2.63091,2.5919,1.76104,2.88247
"AT1G24440_c2",2.06043,2.4341,0.627451,0,0.584874,1.35941,0.634309,1.09286,1.36171,1.87736,2.5736,1.62815,1.45942,2.91718,1.72293,1.97394,1.39446,1.59396
"AT1G24440_P1",7.39941,4.53758,7.6074,4.71465,5.83942,4.03707,4.76077,5.02212,6.4406,5.60793,4.1572,6.36609,3.78406,3.43239,4.21847,3.33305,4.60705,3.72281
"AT1G24460_c1",9.46411,10.2526,9.13097,7.56052,9.4651,8.5709,10.5586,8.83182,8.72034,10.2324,12.3282,11.2396,8.81884,10.4108,9.90924,11.7059,11.6095,9.73852
"AT1G24460_JS3",8.59457,8.74658,7.03334,5.96756,7.53003,6.90507,7.44945,8.13272,8.05081,8.49067,6.41437,7.71121,6.45212,6.38825,7.11042,5.2603,6.02009,6.73749
"AT1G24470_JS1",0.897017,1.44624,0.607855,0.605777,1.27584,1.3361,1.21862,1.04754,0.874435,0.727195,1.10466,0.345393,0.315631,0.587545,0.433845,0.703491,0.638584,0.525503
"AT1G24470_P1",2.75349,3.25627,4.50279,4.17476,3.30406,4.03265,2.83763,3.8377,3.7554,2.38142,3.33335,2.35034,2.37023,2.17865,1.62755,1.53539,1.59283,2.2543
"AT1G24610_ID1",5.75668,10.5989,6.52026,7.4972,11.8727,7.39076,7.56025,8.43803,12.7497,1.85386,7.81913,1.23559,8.57947,7.2555,6.46649,4.71071,7.54623,4.81549
"AT1G24610_P1",18.3769,16.7537,17.178,19.7683,14.972,18.6353,20.0136,18.1909,15.8478,18.7968,14.9602,20.3662,16.2921,16.8851,20.0876,16.702,17.5299,19.5923
